Time,Country,Country Code,Females in NatSci/Math/Stats programs(%),GDP Per Capita(current US$),Gov expenditure per student,Female Life Expectancy,Male Life Expectancy,Population,Female Population,Female Pop(% of total),Females in STEM programs(%),Female Primary Graduation(%),Male Primary Graduation(%),Female Tertiary Graduation(%),Male Tertiary Graduation(%),Youth Literacy,A woman can get a job in the same way as a man (1=yes; 0=no),A woman can open a bank account in the same way as a man (1=yes; 0=no),A woman can choose where to live in the same way as a man (1=yes; 0=no),Sons and daughters have equal rights to inherit assets from their parents (1=yes; 0=no),Total Labor Force,Female Labor Force,Female Labor Force (% of total),Female Retirement Age,Male Retirement Age
2016,Latin America & Caribbean (IDA & IBRD),TLA,,8429.0339590811,15.2222,78.2578781935299,71.828555052972,612506457.0,310964762.0,50.7794140089843,,,,,,1.00414001941681,..,..,..,..,292343566.0,120983898.0,41.3841489597493,,
2016,Least developed countries: UN classification,LDC,,986.659726322111,,66.2017042300512,62.5306822212331,963511276.0,484462913.0,50.2815656585147,,,,,,0.925059974193573,..,..,..,..,385797484.0,163704354.0,42.4327164100146,,
2016,Low & middle income,LMY,,4383.45774355264,,72.7523265062302,68.4703922958185,6205233900.0,3067437471.0,49.4487946991193,,,,,,0.964800000190735,..,..,..,..,2741928943.0,1033894805.0,37.7068416791473,,
2016,Low income,LIC,,790.161708482454,,64.6619608190153,60.8729791275381,618780841.0,310559653.0,50.1889573820707,,,,,,0.890070021152496,..,..,..,..,238096329.0,103768361.0,43.582513193641,,
2016,Lower middle income,LMC,,1921.07416148877,,69.669569267497,66.3232130632016,2790617792.0,1368346758.0,49.0338289288286,,,,,,0.952359974384308,..,..,..,..,1062756149.0,321711695.0,30.2714496356747,,
2016,Middle East & North Africa,MEA,,7277.53208743827,,75.5467695504658,72.0507597284854,433597628.0,209196691.0,48.2467334614428,,,,,,0.955099999904633,..,..,..,..,146078037.0,30367125.0,20.7882897442236,,
2016,Middle East & North Africa (excluding high income),MNA,,3942.96184419826,,75.150318832953,71.3553481530796,370276461.0,183589392.0,49.5817077087574,,,,,,0.950039982795715,..,..,..,..,114114606.0,23646604.0,20.7218036449812,,
2016,Middle East & North Africa (IDA & IBRD),TMN,,3947.21870411868,,75.1484610436663,71.348265627313,365909373.0,181438057.0,49.5855179647762,,,,,,0.949240028858185,..,..,..,..,112964048.0,23422815.0,20.7347523393504,,
2016,Middle income,MIC,,4780.82929661651,,73.6636984734824,69.2985442000736,5586453059.0,2756877818.0,49.3667819550622,,,,,,0.974399983882904,..,..,..,..,2503832614.0,930126444.0,37.1481079171723,,
2016,North America,NAC,,56388.8554198654,19.85908,81.3910343576699,76.4829882015296,359115352.0,181383022.0,50.5173705227562,,,,,,,..,..,..,..,182441319.0,83946364.0,46.0128026151795,,
2016,OECD members,OED,,36044.7475495454,20.279965,82.6886823901727,77.3323857936424,1336645071.0,679598090.0,50.8435714224889,,,,,,,..,..,..,..,657454559.0,289669057.0,44.0591754175655,,
2016,Other small states,OSS,,12402.3569740925,,69.4720182242845,66.3718976370399,29542879.0,13883508.0,47.0477783776691,,,,,,0.993659973144531,..,..,..,..,13398772.0,5093196.0,38.0124106877241,,
